"PLOT","SPLOT","TAG","SPECIES","CLASS","YRTAG","STAT86","STAT87","STAT88","STAT89","STAT98","STAT10","DBH86","HT86","DBH87","HT87","CPOS87","CPOS88","DBH98","HT98","CPOS98","DBH10","HT10","CPOS10","ELEV","ASPCL","CANHT86","CANDBH86","CANHT87","CANDBH87","CANHT98","CANDBH98","CANHT10","CANDBH10","KOZAK86","HONER86","KOZAK87","HONER87","KOZAK98","HONER98","KOZAK10","HONER10","CLARK86","CLARK87","CLARK98","CLARK10","BV86","BV87","BV98","BV10"
4,1,120,"BECO","P",1988,"","","ALIVE","","ALIVE","DEAD",NA,NA,NA,NA,"","",1.2,2.3,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000951557804795961,NA,NA,NA,0.000951557804795961,NA
4,1,122,"SOAM","P",1988,"","","ALIVE","","DEAD","DEAD",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,123,"SOAM","P",1988,"","","ALIVE","","ALIVE","NF",NA,NA,NA,NA,"","",0,1.2,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83087070494946e-06,NA,NA,NA,2.83087070494946e-06,NA
4,1,125,"ACSP","P",1988,"","","ALIVE","","ALIVE","ALIVE",NA,NA,NA,NA,"","",2.8,4.9,"o",4.9,6.6,"i","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA,NA,NA,NA,0.00554138617024882,NA,NA,0.0158657814785737,0.0162525447811655,NA,NA,0.0158657814785737,0.0162525447811655
4,1,126,"PIRU","P",1988,"","","ALIVE","ALIVE","ALIVE","ALIVE",NA,NA,NA,NA,"","",0.5,1.4,"",2.6,2.62,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA,3.5252807478871e-05,1.37385895743371e-05,0.00112579009298749,0.00069001744569008,NA,NA,NA,NA,NA,NA,3.5252807478871e-05,0.00112579009298749
4,1,127,"ABBA","P",1988,"","","ALIVE","","ALIVE","ALIVE",NA,NA,NA,NA,"","",1.6,2,"",2.4,2.04,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA,0.000311541990778333,0.000233560783064341,0.000554406169590123,0.00053554576370957,NA,NA,NA,NA,NA,NA,0.000311541990778333,0.000554406169590123
4,1,128,"ABBA","P",1988,"","","ALIVE","","ALIVE","ALIVE",NA,NA,NA,NA,"","",6.1,4.8,"o",11.8,8.54,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA,0.00711194645705139,0.00767017346771626,0.0475110738180052,0.0473584668354777,NA,NA,NA,NA,NA,NA,0.00711194645705139,0.0475110738180052
4,1,129,"ACPE","P",1988,"","","ALIVE","","DEAD","DEAD",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,213,"SOAM","P",1988,"","","ALIVE","","ALIVE","NF",NA,NA,NA,NA,"","",0.5,NA,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,225,"ACPE","P",1988,"","","ALIVE","","DEAD","DEAD",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
